state,85Income,85Price,85SaleTx,85Quant,85CigTx,95Income,95Price,95SaleTx,95Quant,95CigTx,Income,Price,SalesTax,Quantity,CigTax
AL,2.376194819,4.55350188,0.788412148,4.757773518,30.20446521,2.558416261,4.643604104,0.921697484,4.61596604,26.57480688,0.182221442,0.090102224,0.133285336,-0.141807478,-3.629658325
AR,2.348338775,4.546562009,0,4.856198064,34.38661789,2.498897718,4.74654283,5.485019287,4.709917232,36.41732452,0.150558944,0.199980821,5.485019287,-0.146280832,2.030706628
AZ,2.551821721,4.614225283,4.805221101,4.649403445,28.81040959,2.605621553,4.869992095,6.205706746,4.276029392,42.86963994,0.053799832,0.255766812,1.400485645,-0.373374054,14.05923036
CA,2.754508853,4.607373554,5.672862669,4.608793983,24.16356933,2.777177624,4.928169423,9.036307365,4.040579907,40.02624857,0.022668771,0.320795869,3.363444696,-0.568214077,15.86267924
CO,2.662089349,4.472877163,0,4.727065104,28.81040959,2.792119093,4.698749053,0,4.413802927,28.87139241,0.130029744,0.22587189,0,-0.313262177,0.060982827
CT,2.858686439,4.778975071,8.813507255,4.693898304,39.03345815,3.042728409,4.964442533,8.107283359,4.37540716,48.55643269,0.18404197,0.185467462,-0.706223895,-0.318491145,9.522974546
DE,2.703305021,4.556531001,0,4.968778982,27.88104153,2.813054691,4.688236868,0,4.824037395,31.49606445,0.10974967,0.131705867,0,-0.144741587,3.615022916
FL,2.614865772,4.674200262,5.102232161,4.805504549,34.38661789,2.736166967,4.813598049,6.972115507,4.533400833,37.99212874,0.121301195,0.139397786,1.869883346,-0.272103716,3.605510852
GA,2.502544777,4.501719984,0.782372801,4.846032777,26.02230543,2.680099613,4.632184419,0.939249097,4.579592084,23.62204834,0.177554836,0.130464435,0.156876296,-0.266440693,-2.400257094
IA,2.52150037,4.550172182,3.640334486,4.733964223,31.59851374,2.631744078,4.830358932,5.964564802,4.526144252,39.37008056,0.110243707,0.28018675,2.324230316,-0.207819971,7.771566824
ID,2.381810549,4.560500694,3.678128707,4.634904819,23.32713844,2.555719286,4.769602588,5.612971849,4.315483236,34.12073649,0.173908736,0.209101894,1.934843142,-0.319421583,10.79359805
IL,2.667990443,4.575364739,0.850604832,4.813877887,26.02231075,2.822939004,4.86933061,7.371717579,4.422029202,44.61942964,0.154948561,0.293965871,6.521112747,-0.391848685,18.59711889
IN,2.502511149,4.492971,4.256505603,4.924622508,24.62825336,2.662655165,4.619074124,4.828575939,4.899765903,25.91863637,0.160144016,0.126103124,0.572070335,-0.024856605,1.290383015
KS,2.588849549,4.521090447,2.677740279,4.759438548,29.73977764,2.664665217,4.744646882,5.474628992,4.485862198,31.49606445,0.075815668,0.223556434,2.796888713,-0.27357635,1.756286814
KY,2.374041554,4.392672062,3.850295287,5.225935832,17.65799297,2.534367955,4.562128991,5.421916582,5.151253573,17.71653625,0.1603264,0.169456929,1.571621295,-0.074682259,0.058543282
LA,2.421509601,4.612522272,3.874534214,4.848565411,29.73977764,2.551172508,4.701406666,4.234689623,4.655636394,28.87139241,0.129662907,0.088884394,0.360155409,-0.192929016,-0.868385224
MA,2.743338572,4.647106846,0,4.750806986,39.03345815,2.912668282,4.959042747,6.78368347,4.338866539,49.2126007,0.16932971,0.311935901,6.78368347,-0.411940446,10.17914256
MD,2.757476595,4.448175759,0,4.79561455,26.95167348,2.87063447,4.804589711,5.812827953,4.349936573,39.37008056,0.113157875,0.356413952,5.812827953,-0.445677976,12.41840708
ME,2.455074454,4.600022228,4.737453499,4.852943467,33.45724984,2.586329975,4.863035455,7.325460618,4.629567926,40.02624857,0.131255521,0.263013226,2.588007119,-0.223375541,6.568998731
MI,2.616814005,4.579892142,0.77215005,4.852068172,34.38661789,2.75566817,5.062834554,8.945540595,4.399230941,64.96063293,0.138854165,0.482942412,8.173390544,-0.45283723,30.57401504
MN,2.640793077,4.659870171,5.978623425,4.726531069,31.59851374,2.780727349,4.973872714,9.458882727,4.418181321,47.24409668,0.139934272,0.314002543,3.480259302,-0.308349748,15.64558294
MO,2.556161298,4.525279402,0.79445504,4.870406721,26.95167703,2.673948445,4.636371846,0.911034353,4.807705064,26.90289089,0.117787147,0.111092444,0.116579314,-0.062701657,-0.048786141
MS,2.221519575,4.583499683,5.539032734,4.762517329,25.63506756,2.422715026,4.709916784,7.264490539,4.659492172,27.55905639,0.201195451,0.126417101,1.725457805,-0.103025157,1.923988832
MT,2.403638551,4.524811182,0,4.646867676,29.73977764,2.510594869,4.629905574,0,4.467740563,27.55905639,0.106956318,0.105094391,0,-0.179127113,-2.180721243
NC,2.464140153,4.369024214,3.037174465,5.045254202,16.72862492,2.666883132,4.589256904,3.785433907,4.80022749,19.02887227,0.202742979,0.22023269,0.748259442,-0.245026713,2.300247351
ND,2.477042323,4.597782379,3.817845542,4.658381859,31.59851374,2.527518572,4.837451292,7.140422761,4.379610828,44.61942464,0.050476248,0.239668913,3.322577219,-0.278771031,13.0209109
